cohort_month,dimension,first_value,m,metric,cohort_size,retention
2025-01-01,category,pom hl,0,same,5,100.00%
2025-01-01,category,pom hl,1,any,5,80.00%
2025-01-01,category,pom hl,1,same,5,80.00%
2025-01-01,category,pom hl,2,any,5,80.00%
2025-01-01,category,pom hl,2,same,5,80.00%
2025-01-01,category,pom hl,3,any,5,20.00%
2025-01-01,category,pom hl,3,same,5,20.00%
2025-01-01,category,pom hl,4,any,5,20.00%
2025-01-01,category,pom hl,4,same,5,20.00%
2025-01-01,category,pom hl,5,any,5,20.00%
2025-01-01,category,pom hl,5,same,5,20.00%
2025-01-01,category,pom hl,6,any,5,20.00%
2025-01-01,category,pom hl,6,same,5,20.00%
2025-01-01,category,pom hl,7,any,5,40.00%
2025-01-01,category,pom hl,7,same,5,40.00%
2025-01-01,category,pom hl,8,any,5,0.00%
2025-01-01,category,pom hl,8,same,5,0.00%
2025-01-01,category,pom hl,9,any,5,0.00%
2025-01-01,category,pom hl,9,same,5,0.00%
2025-01-01,category,pom hl,10,any,5,0.00%
2025-01-01,category,pom hl,10,same,5,0.00%
2025-01-01,category,pom hl,11,any,5,0.00%
2025-01-01,category,pom hl,11,same,5,0.00%
2025-01-01,category,pom hl,12,any,5,0.00%
2025-01-01,category,pom hl,12,same,5,0.00%
2025-02-01,category,pom hl,0,any,11,100.00%
2025-02-01,category,pom hl,0,same,11,100.00%
2025-02-01,category,pom hl,1,any,11,90.91%
2025-02-01,category,pom hl,1,same,11,90.91%
2025-02-01,category,pom hl,2,any,11,72.73%
2025-02-01,category,pom hl,2,same,11,72.73%
2025-02-01,category,pom hl,3,any,11,54.55%
2025-02-01,category,pom hl,3,same,11,54.55%
2025-02-01,category,pom hl,4,any,11,54.55%
2025-02-01,category,pom hl,4,same,11,54.55%
2025-02-01,category,pom hl,5,any,11,54.55%
2025-02-01,category,pom hl,5,same,11,54.55%
2025-02-01,category,pom hl,6,any,11,9.09%
2025-02-01,category,pom hl,6,same,11,9.09%
2025-02-01,category,pom hl,7,any,11,0.00%
2025-02-01,category,pom hl,7,same,11,0.00%
2025-02-01,category,pom hl,8,any,11,0.00%
2025-02-01,category,pom hl,8,same,11,0.00%
2025-02-01,category,pom hl,9,any,11,0.00%
2025-02-01,category,pom hl,9,same,11,0.00%
2025-02-01,category,pom hl,10,any,11,0.00%
2025-02-01,category,pom hl,10,same,11,0.00%
2025-02-01,category,pom hl,11,any,11,0.00%
2025-02-01,category,pom hl,11,same,11,0.00%
2025-02-01,category,pom hl,12,any,11,0.00%
2025-02-01,category,pom hl,12,same,11,0.00%
2025-03-01,category,pom hl,0,any,46,100.00%
