cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2025-06-01,category,otc sh,4,same,revenue,6,
purchase,2025-06-01,category,otc sh,5,same,revenue,6,
purchase,2025-06-01,category,otc sh,6,same,revenue,6,
purchase,2025-06-01,category,otc sh,7,same,revenue,6,
purchase,2025-06-01,category,otc sh,8,same,revenue,6,
purchase,2025-06-01,category,otc sh,9,same,revenue,6,
purchase,2025-06-01,category,otc sh,10,same,revenue,6,
purchase,2025-06-01,category,otc sh,11,same,revenue,6,
purchase,2025-06-01,category,otc sh,12,same,revenue,6,
purchase,2025-07-01,category,otc sh,0,any,revenue,3,158.6666667
purchase,2025-07-01,category,otc sh,1,any,revenue,3,158.6666667
purchase,2025-07-01,category,otc sh,2,any,revenue,3,
purchase,2025-07-01,category,otc sh,3,any,revenue,3,
purchase,2025-07-01,category,otc sh,4,any,revenue,3,
purchase,2025-07-01,category,otc sh,5,any,revenue,3,
purchase,2025-07-01,category,otc sh,6,any,revenue,3,
purchase,2025-07-01,category,otc sh,7,any,revenue,3,
purchase,2025-07-01,category,otc sh,8,any,revenue,3,
purchase,2025-07-01,category,otc sh,9,any,revenue,3,
purchase,2025-07-01,category,otc sh,10,any,revenue,3,
purchase,2025-07-01,category,otc sh,11,any,revenue,3,
purchase,2025-07-01,category,otc sh,12,any,revenue,3,
purchase,2025-07-01,category,otc sh,0,same,revenue,3,158.6666667
purchase,2025-07-01,category,otc sh,1,same,revenue,3,158.6666667
purchase,2025-07-01,category,otc sh,2,same,revenue,3,
purchase,2025-07-01,category,otc sh,3,same,revenue,3,
purchase,2025-07-01,category,otc sh,4,same,revenue,3,
purchase,2025-07-01,category,otc sh,5,same,revenue,3,
purchase,2025-07-01,category,otc sh,6,same,revenue,3,
purchase,2025-07-01,category,otc sh,7,same,revenue,3,
purchase,2025-07-01,category,otc sh,8,same,revenue,3,
purchase,2025-07-01,category,otc sh,9,same,revenue,3,
purchase,2025-07-01,category,otc sh,10,same,revenue,3,
purchase,2025-07-01,category,otc sh,11,same,revenue,3,
purchase,2025-07-01,category,otc sh,12,same,revenue,3,
purchase,2025-01-01,category,otc sk,0,any,revenue,2,469.5
purchase,2025-01-01,category,otc sk,1,any,revenue,2,469.5
purchase,2025-01-01,category,otc sk,2,any,revenue,2,694
purchase,2025-01-01,category,otc sk,3,any,revenue,2,694
purchase,2025-01-01,category,otc sk,4,any,revenue,2,694
purchase,2025-01-01,category,otc sk,5,any,revenue,2,694
purchase,2025-01-01,category,otc sk,6,any,revenue,2,694
purchase,2025-01-01,category,otc sk,7,any,revenue,2,694
purchase,2025-01-01,category,otc sk,8,any,revenue,2,
purchase,2025-01-01,category,otc sk,9,any,revenue,2,
purchase,2025-01-01,category,otc sk,10,any,revenue,2,
purchase,2025-01-01,category,otc sk,11,any,revenue,2,
purchase,2025-01-01,category,otc sk,12,any,revenue,2,
purchase,2025-01-01,category,otc sk,0,same,revenue,2,469.5
purchase,2025-01-01,category,otc sk,1,same,revenue,2,469.5
purchase,2025-01-01,category,otc sk,2,same,revenue,2,694
purchase,2025-01-01,category,otc sk,3,same,revenue,2,694
purchase,2025-01-01,category,otc sk,4,same,revenue,2,694
purchase,2025-01-01,category,otc sk,5,same,revenue,2,694
purchase,2025-01-01,category,otc sk,6,same,revenue,2,694
purchase,2025-01-01,category,otc sk,7,same,revenue,2,694
purchase,2025-01-01,category,otc sk,8,same,revenue,2,
purchase,2025-01-01,category,otc sk,9,same,revenue,2,
purchase,2025-01-01,category,otc sk,10,same,revenue,2,
purchase,2025-01-01,category,otc sk,11,same,revenue,2,
